Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,Age_Group,clean_comments,polarity,sentiment
2014-08-27 11:33:26,36,Male,United States,CT,No,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,36-45,i m not on my company s health insurance which could be part of the reason i answered don t know to so many questions,0.5,Positive
2014-08-27 11:34:00,29,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,26-35,i have chronic low level neurological issues that have mental health side effects one of my supervisors has also experienced similar neurological problems so i feel more comfortable being open about my issues than i would with someone without that experience,0.26666666666666666,Positive
2014-08-27 11:34:20,23,Male,United Kingdom,Unknown,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,18-25,my company does provide healthcare but not to me as i m on a fixed term contract the mental healthcare i use is provided entirely outside of my work,-0.05,Neutral
2014-08-27 11:36:48,33,Male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Relatively new job. Ask again later,26-35,relatively new job ask again later,0.06818181818181818,Positive
2014-08-27 11:37:08,35,Male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,26-35,sometimes i think about using drugs for my mental health issues if i use drugs i feel better,0.2,Positive
2014-08-27 11:39:36,42,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,36-45,i selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits i still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns,-0.08,Negative
2014-08-27 11:43:36,38,Male,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,36-45,our health plan has covered my psychotherapy and my antidepressant medication my manager has been aware but discreet throughout i did get negative reviews when my depression was trashing my delivery but y know i wasn t delivering,-0.024999999999999994,Neutral
2014-08-27 11:44:43,30,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,I just started a new job last week hence a lot of don't know's,26-35,i just started a new job last week hence a lot of don t know s,0.06818181818181818,Positive
2014-08-27 11:47:56,33,Male,Canada,Unknown,No,Yes,Yes,Often,6-25,Yes,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,26-35,in addition to my own mental health issues i ve known several coworkers that may be suffering and i don t know how to tell them i empathize and that i want to help,0.16666666666666666,Positive
2014-08-27 11:51:34,23,Male,Australia,Unknown,No,Yes,Yes,Often,1-5,Yes,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Thanks for doing this research.,18-25,thanks for doing this research,0.2,Positive
2014-08-27 12:15:11,18,Male,Russia,Unknown,No,No,No,Don't know,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.,18-25,in russia we have mandatory medical insurance every employer must pay of every employee s salary to the insurance fund like a tax everyone gets free healthcare at public clinics and hospitals some types of healthcare including mental health are still funded from the government budget but that doesn t matter it s still free however this is russia d i don t know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them,0.12727272727272726,Positive
2014-08-27 12:18:14,26,Male,Canada,Unknown,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.,26-35,in my previous workplace which had mental health protections policies and access to counsellors my director went so far as to say to me in somewhat casual conversation a woman was murdered across the street at best though she was bipolar and at worst who knowsi have bipolar disorder i have zero faith that an organization with policies in place could appropriately handle mental health i have even less faith that a workplace without the policies in place could appropriately handle mental health i can only imagine it s worse in full tech environments,-0.005952380952380955,Neutral
